match_id,date_utc,name,season_slug,group,alt_game_note,status_name,status_desc,completed,home_team_id,home_team,home_abbrev,home_logo,home_color,home_score,home_form,away_team_id,away_team,away_abbrev,away_logo,away_color,away_score,away_form
760474,2026-06-26T19:00Z,Iraq at Senegal,group-stage,I,"FIFA World Cup, Group I",STATUS_FULL_TIME,Full Time,True,654,Senegal,SEN,https://a.espncdn.com/i/teamlogos/countries/500/sen.png,FFFFFF,5,WLLDL,4375,Iraq,IRQ,https://a.espncdn.com/i/teamlogos/countries/500/irq.png,FFFFFF,0,LLLLD
760478,2026-06-27T00:00Z,Saudi Arabia at Cape Verde,group-stage,H,"FIFA World Cup, Group H",STATUS_FULL_TIME,Full Time,True,2597,Cape Verde,CPV,https://a.espncdn.com/i/teamlogos/countries/500/cpv.png,000080,0,DDDWW,655,Saudi Arabia,KSA,https://a.espncdn.com/i/teamlogos/countries/500/ksa.png,FFFFFF,0,DLDDW
760479,2026-06-27T00:00Z,Spain at Uruguay,group-stage,H,"FIFA World Cup, Group H",STATUS_FULL_TIME,Full Time,True,212,Uruguay,URU,https://a.espncdn.com/i/teamlogos/countries/500/uru.png,55B5E5,0,LDDDD,164,Spain,ESP,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,c60b1e,1,WWDWD
760476,2026-06-27T03:00Z,Iran at Egypt,group-stage,G,"FIFA World Cup, Group G",STATUS_FULL_TIME,Full Time,True,2620,Egypt,EGY,https://a.espncdn.com/i/teamlogos/countries/500/egy.png,D20300,1,DWDLW,469,Iran,IRN,https://a.espncdn.com/i/teamlogos/countries/500/irn.png,FFFFFF,1,DDDWW
760477,2026-06-27T03:00Z,Belgium at New Zealand,group-stage,G,"FIFA World Cup, Group G",STATUS_FULL_TIME,Full Time,True,2666,New Zealand,NZL,https://a.espncdn.com/i/teamlogos/countries/500/nzl.png,000000,1,LLDLL,459,Belgium,BEL,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,E30613,5,WDDWW
760480,2026-06-27T21:00Z,Ghana at Croatia,group-stage,L,"FIFA World Cup, Group L",STATUS_FULL_TIME,Full Time,True,477,Croatia,CRO,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,ff0000,2,WWLWL,4469,Ghana,GHA,https://a.espncdn.com/i/teamlogos/countries/500/gha.png,fbd632,1,LDWDL
760485,2026-06-27T21:00Z,England at Panama,group-stage,L,"FIFA World Cup, Group L",STATUS_FULL_TIME,Full Time,True,2659,Panama,PAN,https://a.espncdn.com/i/teamlogos/countries/500/pan.png,d21034,0,LLLDW,448,England,ENG,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,ffffff,2,WDWWW
760481,2026-06-27T23:30Z,Portugal at Colombia,group-stage,K,"FIFA World Cup, Group K",STATUS_FULL_TIME,Full Time,True,208,Colombia,COL,https://a.espncdn.com/i/teamlogos/countries/500/col.png,fbd632,0,DWWWW,482,Portugal,POR,https://a.espncdn.com/i/teamlogos/countries/500/por.png,da291c,0,DWDWW
760482,2026-06-27T23:30Z,Uzbekistan at Congo DR,group-stage,K,"FIFA World Cup, Group K",STATUS_FULL_TIME,Full Time,True,2850,Congo DR,COD,https://a.espncdn.com/i/teamlogos/countries/500/rdc.png,418fde,3,WLDLD,2570,Uzbekistan,UZB,https://a.espncdn.com/i/teamlogos/countries/500/uzb.png,ffffff,1,LLLLL
760484,2026-06-28T02:00Z,Austria at Algeria,group-stage,J,"FIFA World Cup, Group J",STATUS_FULL_TIME,Full Time,True,624,Algeria,ALG,https://a.espncdn.com/i/teamlogos/countries/500/alg.png,4F9A44,3,DWLWW,474,Austria,AUT,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,d72b2c,3,DLWWW
760483,2026-06-28T02:00Z,Argentina at Jordan,group-stage,J,"FIFA World Cup, Group J",STATUS_FULL_TIME,Full Time,True,2917,Jordan,JOR,https://a.espncdn.com/i/teamlogos/countries/500/jor.png,E70000,1,LLLLL,202,Argentina,ARG,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,74acdf,3,WWWWW
